================ Training Loss (Sat Jan 19 13:57:30 2019) ================
(epoch: 150, iters: 20, time: 1.323, data: 0.211) D_A: 0.137 G_A: 0.965 cycle_A: 1.176 idt_A: 0.597 D_B: 0.109 G_B: 0.438 cycle_B: 1.747 idt_B: 0.615 
(epoch: 155, iters: 20, time: 1.321, data: 0.291) D_A: 0.193 G_A: 0.691 cycle_A: 1.493 idt_A: 0.685 D_B: 0.080 G_B: 0.495 cycle_B: 1.611 idt_B: 0.738 
(epoch: 160, iters: 20, time: 3.082, data: 0.217) D_A: 0.150 G_A: 0.423 cycle_A: 1.692 idt_A: 0.526 D_B: 0.254 G_B: 0.343 cycle_B: 1.138 idt_B: 0.909 
(epoch: 165, iters: 20, time: 1.322, data: 0.227) D_A: 0.074 G_A: 0.555 cycle_A: 1.342 idt_A: 0.322 D_B: 0.055 G_B: 0.425 cycle_B: 0.780 idt_B: 0.692 
(epoch: 170, iters: 20, time: 1.316, data: 0.215) D_A: 0.200 G_A: 1.384 cycle_A: 0.842 idt_A: 0.404 D_B: 0.087 G_B: 0.667 cycle_B: 0.822 idt_B: 0.482 
(epoch: 175, iters: 20, time: 1.323, data: 0.246) D_A: 0.116 G_A: 1.063 cycle_A: 1.177 idt_A: 0.462 D_B: 0.302 G_B: 0.201 cycle_B: 0.997 idt_B: 0.592 
(epoch: 180, iters: 20, time: 3.313, data: 0.161) D_A: 0.061 G_A: 0.616 cycle_A: 1.054 idt_A: 0.581 D_B: 0.068 G_B: 1.004 cycle_B: 0.966 idt_B: 0.535 
(epoch: 185, iters: 20, time: 1.326, data: 0.218) D_A: 0.061 G_A: 0.660 cycle_A: 1.469 idt_A: 0.527 D_B: 0.115 G_B: 0.667 cycle_B: 1.099 idt_B: 0.750 
(epoch: 190, iters: 20, time: 1.318, data: 0.238) D_A: 0.086 G_A: 0.342 cycle_A: 1.546 idt_A: 0.441 D_B: 0.063 G_B: 1.018 cycle_B: 1.355 idt_B: 0.580 
(epoch: 195, iters: 20, time: 1.321, data: 0.238) D_A: 0.035 G_A: 0.588 cycle_A: 1.174 idt_A: 0.337 D_B: 0.142 G_B: 0.380 cycle_B: 0.644 idt_B: 0.675 
(epoch: 200, iters: 20, time: 3.346, data: 0.242) D_A: 0.093 G_A: 0.611 cycle_A: 1.392 idt_A: 0.599 D_B: 0.182 G_B: 0.200 cycle_B: 1.026 idt_B: 0.686 
================ Training Loss (Sun Jan 20 00:26:05 2019) ================
(epoch: 5, iters: 20, time: 1.409, data: 0.380) D_A: 0.250 G_A: 0.418 cycle_A: 1.600 idt_A: 0.673 D_B: 0.327 G_B: 0.467 cycle_B: 1.787 idt_B: 0.648 
(epoch: 10, iters: 20, time: 1.419, data: 0.292) D_A: 0.251 G_A: 0.246 cycle_A: 1.545 idt_A: 0.762 D_B: 0.329 G_B: 0.250 cycle_B: 1.481 idt_B: 0.633 
(epoch: 15, iters: 20, time: 1.416, data: 0.309) D_A: 0.313 G_A: 0.549 cycle_A: 1.300 idt_A: 0.644 D_B: 0.162 G_B: 0.269 cycle_B: 1.314 idt_B: 0.675 
(epoch: 20, iters: 20, time: 2.029, data: 0.270) D_A: 0.217 G_A: 0.819 cycle_A: 1.356 idt_A: 0.608 D_B: 0.095 G_B: 0.372 cycle_B: 1.338 idt_B: 0.675 
(epoch: 25, iters: 20, time: 1.419, data: 0.236) D_A: 0.030 G_A: 1.182 cycle_A: 1.396 idt_A: 0.966 D_B: 0.171 G_B: 0.339 cycle_B: 3.165 idt_B: 0.695 
(epoch: 30, iters: 20, time: 1.405, data: 0.222) D_A: 0.209 G_A: 0.702 cycle_A: 0.975 idt_A: 0.435 D_B: 0.313 G_B: 0.537 cycle_B: 0.860 idt_B: 0.527 
(epoch: 35, iters: 20, time: 1.421, data: 0.255) D_A: 0.182 G_A: 0.794 cycle_A: 1.118 idt_A: 0.461 D_B: 0.074 G_B: 0.768 cycle_B: 1.035 idt_B: 0.573 
(epoch: 40, iters: 20, time: 2.170, data: 0.232) D_A: 0.076 G_A: 0.146 cycle_A: 1.206 idt_A: 0.618 D_B: 0.111 G_B: 0.613 cycle_B: 0.967 idt_B: 0.581 
(epoch: 45, iters: 20, time: 1.418, data: 0.219) D_A: 0.146 G_A: 0.313 cycle_A: 2.100 idt_A: 1.053 D_B: 0.220 G_B: 0.276 cycle_B: 3.416 idt_B: 0.725 
(epoch: 50, iters: 20, time: 1.418, data: 0.227) D_A: 0.148 G_A: 0.459 cycle_A: 1.153 idt_A: 0.533 D_B: 0.207 G_B: 0.265 cycle_B: 1.147 idt_B: 0.577 
(epoch: 55, iters: 20, time: 1.417, data: 0.277) D_A: 0.127 G_A: 0.308 cycle_A: 1.086 idt_A: 0.640 D_B: 0.148 G_B: 0.394 cycle_B: 1.156 idt_B: 0.561 
(epoch: 60, iters: 20, time: 2.341, data: 0.287) D_A: 0.096 G_A: 0.612 cycle_A: 1.532 idt_A: 0.751 D_B: 0.159 G_B: 0.405 cycle_B: 1.876 idt_B: 0.700 
(epoch: 65, iters: 20, time: 1.422, data: 0.281) D_A: 0.153 G_A: 0.762 cycle_A: 1.461 idt_A: 0.393 D_B: 0.181 G_B: 0.190 cycle_B: 0.726 idt_B: 0.659 
(epoch: 70, iters: 20, time: 1.413, data: 0.253) D_A: 0.311 G_A: 0.270 cycle_A: 1.363 idt_A: 0.742 D_B: 0.205 G_B: 0.251 cycle_B: 1.358 idt_B: 0.702 
(epoch: 75, iters: 20, time: 1.415, data: 0.182) D_A: 0.224 G_A: 0.251 cycle_A: 1.477 idt_A: 0.548 D_B: 0.220 G_B: 0.618 cycle_B: 1.025 idt_B: 0.683 
(epoch: 80, iters: 20, time: 2.615, data: 0.263) D_A: 0.202 G_A: 0.640 cycle_A: 1.434 idt_A: 0.424 D_B: 0.098 G_B: 0.673 cycle_B: 0.770 idt_B: 0.651 
(epoch: 85, iters: 20, time: 1.417, data: 0.260) D_A: 0.149 G_A: 1.238 cycle_A: 1.292 idt_A: 0.425 D_B: 0.188 G_B: 0.660 cycle_B: 0.981 idt_B: 0.614 
(epoch: 90, iters: 20, time: 1.414, data: 0.255) D_A: 0.060 G_A: 0.858 cycle_A: 1.425 idt_A: 0.515 D_B: 0.090 G_B: 0.549 cycle_B: 1.134 idt_B: 0.545 
(epoch: 95, iters: 20, time: 1.416, data: 0.283) D_A: 0.264 G_A: 0.525 cycle_A: 1.157 idt_A: 0.396 D_B: 0.203 G_B: 0.282 cycle_B: 0.906 idt_B: 0.570 
(epoch: 100, iters: 20, time: 2.725, data: 0.203) D_A: 0.284 G_A: 1.486 cycle_A: 1.461 idt_A: 0.374 D_B: 0.149 G_B: 0.259 cycle_B: 0.813 idt_B: 0.568 
(epoch: 105, iters: 20, time: 1.421, data: 0.237) D_A: 0.110 G_A: 0.288 cycle_A: 0.938 idt_A: 0.256 D_B: 0.444 G_B: 0.344 cycle_B: 0.809 idt_B: 0.488 
(epoch: 110, iters: 20, time: 1.422, data: 0.272) D_A: 0.186 G_A: 0.512 cycle_A: 1.387 idt_A: 0.647 D_B: 0.118 G_B: 0.244 cycle_B: 1.132 idt_B: 0.601 
(epoch: 115, iters: 20, time: 1.417, data: 0.249) D_A: 0.114 G_A: 0.200 cycle_A: 1.444 idt_A: 0.482 D_B: 0.108 G_B: 0.560 cycle_B: 0.956 idt_B: 0.625 
(epoch: 120, iters: 20, time: 2.876, data: 0.250) D_A: 0.153 G_A: 0.428 cycle_A: 1.278 idt_A: 0.646 D_B: 0.185 G_B: 0.226 cycle_B: 1.303 idt_B: 0.679 
(epoch: 125, iters: 20, time: 1.406, data: 0.269) D_A: 0.072 G_A: 0.401 cycle_A: 1.258 idt_A: 0.466 D_B: 0.135 G_B: 1.277 cycle_B: 1.048 idt_B: 0.547 
(epoch: 130, iters: 20, time: 1.409, data: 0.251) D_A: 0.272 G_A: 0.192 cycle_A: 1.239 idt_A: 0.501 D_B: 0.262 G_B: 0.156 cycle_B: 1.086 idt_B: 0.476 
(epoch: 135, iters: 20, time: 1.403, data: 0.225) D_A: 0.300 G_A: 0.217 cycle_A: 1.229 idt_A: 0.558 D_B: 0.059 G_B: 0.366 cycle_B: 1.176 idt_B: 0.498 
(epoch: 140, iters: 20, time: 3.053, data: 0.243) D_A: 0.165 G_A: 0.690 cycle_A: 1.905 idt_A: 0.587 D_B: 0.232 G_B: 0.324 cycle_B: 1.230 idt_B: 0.545 
(epoch: 145, iters: 20, time: 1.412, data: 0.204) D_A: 0.118 G_A: 0.295 cycle_A: 1.115 idt_A: 0.414 D_B: 0.081 G_B: 0.090 cycle_B: 1.164 idt_B: 0.525 
(epoch: 150, iters: 20, time: 1.413, data: 0.229) D_A: 0.102 G_A: 0.152 cycle_A: 1.241 idt_A: 0.296 D_B: 0.159 G_B: 1.065 cycle_B: 0.897 idt_B: 0.550 
(epoch: 155, iters: 20, time: 1.410, data: 0.213) D_A: 0.254 G_A: 1.081 cycle_A: 1.250 idt_A: 0.567 D_B: 0.146 G_B: 0.525 cycle_B: 1.076 idt_B: 0.524 
(epoch: 160, iters: 20, time: 3.245, data: 0.249) D_A: 0.078 G_A: 0.277 cycle_A: 1.135 idt_A: 0.405 D_B: 0.112 G_B: 0.554 cycle_B: 1.048 idt_B: 0.458 
(epoch: 165, iters: 20, time: 1.412, data: 0.189) D_A: 0.153 G_A: 0.358 cycle_A: 1.447 idt_A: 0.430 D_B: 0.360 G_B: 0.095 cycle_B: 1.162 idt_B: 0.618 
(epoch: 170, iters: 20, time: 1.405, data: 0.207) D_A: 0.168 G_A: 0.737 cycle_A: 1.264 idt_A: 0.459 D_B: 0.250 G_B: 0.205 cycle_B: 1.342 idt_B: 0.670 
(epoch: 175, iters: 20, time: 1.418, data: 0.249) D_A: 0.241 G_A: 0.391 cycle_A: 1.441 idt_A: 0.491 D_B: 0.132 G_B: 0.508 cycle_B: 0.955 idt_B: 0.619 
(epoch: 180, iters: 20, time: 3.482, data: 0.223) D_A: 0.096 G_A: 0.310 cycle_A: 1.505 idt_A: 0.395 D_B: 0.158 G_B: 0.626 cycle_B: 0.858 idt_B: 0.467 
(epoch: 185, iters: 20, time: 1.414, data: 0.273) D_A: 0.181 G_A: 0.305 cycle_A: 2.371 idt_A: 0.544 D_B: 0.064 G_B: 0.577 cycle_B: 1.829 idt_B: 0.684 
(epoch: 190, iters: 20, time: 1.410, data: 0.233) D_A: 0.176 G_A: 1.100 cycle_A: 1.160 idt_A: 0.537 D_B: 0.140 G_B: 0.888 cycle_B: 1.228 idt_B: 0.470 
(epoch: 195, iters: 20, time: 1.416, data: 0.258) D_A: 0.051 G_A: 0.517 cycle_A: 1.295 idt_A: 0.373 D_B: 0.239 G_B: 0.409 cycle_B: 1.072 idt_B: 0.563 
(epoch: 200, iters: 20, time: 3.593, data: 0.273) D_A: 0.068 G_A: 0.304 cycle_A: 1.330 idt_A: 0.372 D_B: 0.396 G_B: 0.083 cycle_B: 1.004 idt_B: 0.625 
================ Training Loss (Sun Jan 20 11:36:16 2019) ================
(epoch: 5, iters: 20, time: 1.310, data: 0.338) D_A: 0.179 G_A: 0.748 cycle_A: 1.389 idt_A: 0.718 D_B: 0.080 G_B: 0.231 cycle_B: 2.228 idt_B: 0.753 
(epoch: 10, iters: 20, time: 1.298, data: 0.292) D_A: 0.082 G_A: 0.673 cycle_A: 2.004 idt_A: 0.676 D_B: 0.160 G_B: 0.262 cycle_B: 2.677 idt_B: 0.807 
(epoch: 15, iters: 20, time: 1.305, data: 0.265) D_A: 0.094 G_A: 0.353 cycle_A: 1.358 idt_A: 0.538 D_B: 0.093 G_B: 0.753 cycle_B: 1.086 idt_B: 0.586 
(epoch: 20, iters: 20, time: 1.866, data: 0.305) D_A: 0.158 G_A: 0.807 cycle_A: 1.491 idt_A: 0.437 D_B: 0.053 G_B: 0.259 cycle_B: 1.153 idt_B: 0.725 
(epoch: 25, iters: 20, time: 1.310, data: 0.220) D_A: 0.079 G_A: 0.635 cycle_A: 0.923 idt_A: 0.515 D_B: 0.152 G_B: 0.615 cycle_B: 1.306 idt_B: 0.657 
(epoch: 30, iters: 20, time: 1.303, data: 0.177) D_A: 0.351 G_A: 0.300 cycle_A: 1.287 idt_A: 0.520 D_B: 0.094 G_B: 0.446 cycle_B: 1.122 idt_B: 0.586 
(epoch: 35, iters: 20, time: 1.295, data: 0.211) D_A: 0.195 G_A: 0.262 cycle_A: 1.522 idt_A: 0.506 D_B: 0.311 G_B: 0.852 cycle_B: 1.030 idt_B: 0.930 
(epoch: 40, iters: 20, time: 2.038, data: 0.232) D_A: 0.331 G_A: 0.425 cycle_A: 1.027 idt_A: 0.709 D_B: 0.293 G_B: 0.892 cycle_B: 1.462 idt_B: 0.549 
(epoch: 45, iters: 20, time: 1.299, data: 0.245) D_A: 0.359 G_A: 0.093 cycle_A: 1.175 idt_A: 0.436 D_B: 0.339 G_B: 0.514 cycle_B: 0.960 idt_B: 0.552 
(epoch: 50, iters: 20, time: 1.302, data: 0.228) D_A: 0.208 G_A: 0.164 cycle_A: 1.980 idt_A: 0.511 D_B: 0.375 G_B: 0.712 cycle_B: 0.960 idt_B: 0.951 
(epoch: 55, iters: 20, time: 1.298, data: 0.237) D_A: 0.338 G_A: 0.438 cycle_A: 1.150 idt_A: 0.626 D_B: 0.203 G_B: 0.653 cycle_B: 1.385 idt_B: 0.478 
(epoch: 60, iters: 20, time: 2.210, data: 0.226) D_A: 0.089 G_A: 0.264 cycle_A: 1.320 idt_A: 0.405 D_B: 0.138 G_B: 0.233 cycle_B: 1.121 idt_B: 0.685 
(epoch: 65, iters: 20, time: 1.302, data: 0.224) D_A: 0.121 G_A: 0.469 cycle_A: 1.646 idt_A: 0.548 D_B: 0.057 G_B: 0.706 cycle_B: 1.112 idt_B: 0.776 
(epoch: 70, iters: 20, time: 1.298, data: 0.242) D_A: 0.062 G_A: 0.605 cycle_A: 0.926 idt_A: 0.392 D_B: 0.054 G_B: 0.815 cycle_B: 1.025 idt_B: 0.445 
(epoch: 75, iters: 20, time: 1.303, data: 0.238) D_A: 0.042 G_A: 0.910 cycle_A: 1.161 idt_A: 0.429 D_B: 0.179 G_B: 0.595 cycle_B: 1.231 idt_B: 0.476 
(epoch: 80, iters: 20, time: 2.381, data: 0.221) D_A: 0.202 G_A: 0.481 cycle_A: 1.572 idt_A: 0.569 D_B: 0.102 G_B: 0.495 cycle_B: 1.547 idt_B: 0.780 
(epoch: 85, iters: 20, time: 1.301, data: 0.227) D_A: 0.088 G_A: 0.669 cycle_A: 1.318 idt_A: 0.345 D_B: 0.169 G_B: 0.403 cycle_B: 0.882 idt_B: 0.622 
(epoch: 90, iters: 20, time: 1.303, data: 0.266) D_A: 0.222 G_A: 1.259 cycle_A: 1.052 idt_A: 0.492 D_B: 0.123 G_B: 0.284 cycle_B: 1.097 idt_B: 0.473 
(epoch: 95, iters: 20, time: 1.304, data: 0.188) D_A: 0.163 G_A: 0.308 cycle_A: 0.988 idt_A: 0.337 D_B: 0.179 G_B: 0.918 cycle_B: 0.840 idt_B: 0.488 
(epoch: 100, iters: 20, time: 2.570, data: 0.241) D_A: 0.087 G_A: 0.947 cycle_A: 2.042 idt_A: 0.386 D_B: 0.073 G_B: 0.573 cycle_B: 0.980 idt_B: 0.764 
(epoch: 105, iters: 20, time: 1.300, data: 0.240) D_A: 0.263 G_A: 0.192 cycle_A: 1.141 idt_A: 0.254 D_B: 0.243 G_B: 0.359 cycle_B: 0.684 idt_B: 0.532 
(epoch: 110, iters: 20, time: 1.305, data: 0.250) D_A: 0.166 G_A: 0.502 cycle_A: 1.037 idt_A: 0.417 D_B: 0.123 G_B: 0.212 cycle_B: 1.478 idt_B: 0.683 
(epoch: 115, iters: 20, time: 1.302, data: 0.257) D_A: 0.104 G_A: 0.876 cycle_A: 1.945 idt_A: 0.595 D_B: 0.173 G_B: 0.395 cycle_B: 1.323 idt_B: 0.671 
(epoch: 120, iters: 20, time: 2.758, data: 0.241) D_A: 0.341 G_A: 1.215 cycle_A: 0.653 idt_A: 0.395 D_B: 0.262 G_B: 0.168 cycle_B: 0.960 idt_B: 0.304 
(epoch: 125, iters: 20, time: 1.299, data: 0.234) D_A: 0.155 G_A: 0.359 cycle_A: 1.045 idt_A: 0.405 D_B: 0.105 G_B: 0.820 cycle_B: 0.824 idt_B: 0.494 
(epoch: 130, iters: 20, time: 1.309, data: 0.224) D_A: 0.114 G_A: 1.203 cycle_A: 0.712 idt_A: 0.378 D_B: 0.098 G_B: 0.683 cycle_B: 0.800 idt_B: 0.376 
(epoch: 135, iters: 20, time: 1.305, data: 0.229) D_A: 0.064 G_A: 0.414 cycle_A: 1.725 idt_A: 0.415 D_B: 0.102 G_B: 0.724 cycle_B: 0.908 idt_B: 0.787 
(epoch: 140, iters: 20, time: 2.917, data: 0.255) D_A: 0.166 G_A: 0.256 cycle_A: 1.239 idt_A: 0.373 D_B: 0.097 G_B: 0.807 cycle_B: 0.870 idt_B: 0.581 
(epoch: 145, iters: 20, time: 1.303, data: 0.245) D_A: 0.166 G_A: 0.204 cycle_A: 1.042 idt_A: 0.514 D_B: 0.233 G_B: 1.000 cycle_B: 1.091 idt_B: 0.474 
(epoch: 150, iters: 20, time: 1.297, data: 0.245) D_A: 0.063 G_A: 0.780 cycle_A: 0.760 idt_A: 0.342 D_B: 0.288 G_B: 0.712 cycle_B: 0.877 idt_B: 0.369 
(epoch: 155, iters: 20, time: 1.296, data: 0.283) D_A: 0.194 G_A: 0.642 cycle_A: 0.859 idt_A: 0.363 D_B: 0.061 G_B: 0.667 cycle_B: 0.843 idt_B: 0.453 
(epoch: 160, iters: 20, time: 3.061, data: 0.245) D_A: 0.134 G_A: 1.223 cycle_A: 0.766 idt_A: 0.434 D_B: 0.108 G_B: 0.437 cycle_B: 1.027 idt_B: 0.313 
(epoch: 165, iters: 20, time: 1.307, data: 0.214) D_A: 0.119 G_A: 0.408 cycle_A: 1.053 idt_A: 0.251 D_B: 0.048 G_B: 0.639 cycle_B: 0.834 idt_B: 0.445 
(epoch: 170, iters: 20, time: 1.307, data: 0.221) D_A: 0.241 G_A: 0.492 cycle_A: 0.668 idt_A: 0.483 D_B: 0.073 G_B: 0.685 cycle_B: 0.954 idt_B: 0.275 
(epoch: 175, iters: 20, time: 1.300, data: 0.260) D_A: 0.058 G_A: 0.710 cycle_A: 1.285 idt_A: 0.222 D_B: 0.286 G_B: 0.451 cycle_B: 0.637 idt_B: 0.534 
(epoch: 180, iters: 20, time: 3.290, data: 0.248) D_A: 0.133 G_A: 1.357 cycle_A: 1.001 idt_A: 0.416 D_B: 0.214 G_B: 0.159 cycle_B: 1.097 idt_B: 0.416 
(epoch: 185, iters: 20, time: 1.304, data: 0.218) D_A: 0.133 G_A: 0.509 cycle_A: 1.370 idt_A: 0.356 D_B: 0.072 G_B: 1.010 cycle_B: 0.953 idt_B: 0.515 
(epoch: 190, iters: 20, time: 1.305, data: 0.262) D_A: 0.092 G_A: 0.345 cycle_A: 0.774 idt_A: 0.431 D_B: 0.152 G_B: 0.462 cycle_B: 0.959 idt_B: 0.307 
(epoch: 195, iters: 20, time: 1.301, data: 0.253) D_A: 0.083 G_A: 1.270 cycle_A: 1.002 idt_A: 0.426 D_B: 0.076 G_B: 0.545 cycle_B: 1.008 idt_B: 0.411 
(epoch: 200, iters: 20, time: 3.319, data: 0.210) D_A: 0.166 G_A: 0.831 cycle_A: 0.830 idt_A: 0.310 D_B: 0.059 G_B: 0.581 cycle_B: 0.701 idt_B: 0.348 
================ Training Loss (Sun Jan 20 13:13:33 2019) ================
(epoch: 5, iters: 20, time: 1.315, data: 0.272) D_A: 0.063 G_A: 0.811 cycle_A: 1.338 idt_A: 0.572 D_B: 0.191 G_B: 0.194 cycle_B: 1.827 idt_B: 0.517 
(epoch: 10, iters: 20, time: 1.319, data: 0.244) D_A: 0.241 G_A: 0.776 cycle_A: 1.020 idt_A: 1.405 D_B: 0.251 G_B: 0.243 cycle_B: 2.797 idt_B: 0.524 
(epoch: 15, iters: 20, time: 1.317, data: 0.271) D_A: 0.410 G_A: 0.471 cycle_A: 0.962 idt_A: 0.623 D_B: 0.217 G_B: 0.590 cycle_B: 1.665 idt_B: 0.659 
(epoch: 20, iters: 20, time: 1.887, data: 0.254) D_A: 0.047 G_A: 0.227 cycle_A: 1.035 idt_A: 0.320 D_B: 0.230 G_B: 0.276 cycle_B: 0.832 idt_B: 0.601 
(epoch: 25, iters: 20, time: 1.317, data: 0.205) D_A: 0.339 G_A: 0.967 cycle_A: 1.471 idt_A: 0.740 D_B: 0.106 G_B: 0.412 cycle_B: 1.621 idt_B: 0.599 
(epoch: 30, iters: 20, time: 1.315, data: 0.204) D_A: 0.211 G_A: 0.329 cycle_A: 1.123 idt_A: 0.405 D_B: 0.232 G_B: 0.777 cycle_B: 0.815 idt_B: 0.476 
(epoch: 35, iters: 20, time: 1.329, data: 0.217) D_A: 0.177 G_A: 0.551 cycle_A: 1.187 idt_A: 0.446 D_B: 0.180 G_B: 0.929 cycle_B: 1.026 idt_B: 0.696 
(epoch: 40, iters: 20, time: 2.061, data: 0.178) D_A: 0.074 G_A: 0.846 cycle_A: 1.098 idt_A: 0.476 D_B: 0.031 G_B: 0.921 cycle_B: 1.006 idt_B: 0.481 
(epoch: 45, iters: 20, time: 1.314, data: 0.203) D_A: 0.042 G_A: 0.419 cycle_A: 0.717 idt_A: 0.493 D_B: 0.115 G_B: 0.171 cycle_B: 1.367 idt_B: 0.364 
